"avatar","fullname","id","images/0","images/1","images/2","images/3","images/4","images/5","isQuote","isRetweet","likes","links/0","links/1","links/2","links/3","links/4","links/5","links/6","links/7","links/8","links/9","links/10","links/11","links/12","links/13","links/14","links/15","links/16","links/17","links/18","links/19","links/20","links/21","links/22","links/23","links/24","links/25","links/26","links/27","links/28","links/29","quotedTweet/avatar","quotedTweet/fullname","quotedTweet/images/0","quotedTweet/images/1","quotedTweet/images/2","quotedTweet/images/3","quotedTweet/links/0","quotedTweet/links/1","quotedTweet/links/2","quotedTweet/links/3","quotedTweet/links/4","quotedTweet/links/5","quotedTweet/links/6","quotedTweet/links/7","quotedTweet/links/8","quotedTweet/links/9","quotedTweet/links/10","quotedTweet/links/11","quotedTweet/links/12","quotedTweet/links/13","quotedTweet/links/14","quotedTweet/links/15","quotedTweet/links/16","quotedTweet/links/17","quotedTweet/links/18","quotedTweet/links/19","quotedTweet/links/20","quotedTweet/links/21","quotedTweet/links/22","quotedTweet/links/23","quotedTweet/links/24","quotedTweet/links/25","quotedTweet/links/26","quotedTweet/links/27","quotedTweet/links/28","quotedTweet/links/29","quotedTweet/text","quotedTweet/timestamp","quotedTweet/url","quotedTweet/username","quotes","replies","retweets","searchQuery","text","timestamp","url","user/avatar","user/description","user/joinDate","user/location","user/totalFollowers","user/totalFollowing","user/totalLikes","user/totalTweets","user/url","user/userFullName","user/username","user/verified","user/website","username","verified"
,,"1472820501957406721","https://pbs.twimg.com/media/FHBuAi_VQAEHZIB.jpg","https://pbs.twimg.com/media/FHBuAu9VgAA2by6.jpg","https://pbs.twimg.com/media/FHBuA7LVcAA9lFk.jpg","https://pbs.twimg.com/media/FHBuBJTUUAAexjS.jpg",,,"true","false","7","https://twitter.com/mcu_bhopal","https://twitter.com/kg_suresh","https://twitter.com/lokendra_777","https://twitter.com/search?q=%23MCU","https://twitter.com/search?q=%23student","https://twitter.com/search?q=%23MadhyaPradesh",,,,,,,,,,,,,,,,,,,,,,,,,"","Prof (Dr) K G Suresh","https://pbs.twimg.com/media/FHBuAi_VQAEHZIB.jpg","https://pbs.twimg.com/media/FHBuAu9VgAA2by6.jpg","https://pbs.twimg.com/media/FHBuA7LVcAA9lFk.jpg","https://pbs.twimg.com/media/FHBuBJTUUAAexjS.jpg","https://twitter.com/mcu_bhopal","https://twitter.com/bharatyadavias","https://twitter.com/mphidb","https://twitter.com/MCU_Khandwa","https://twitter.com/mcu_datia","https://twitter.com/McuRewa","https://twitter.com/JansamparkMP","https://twitter.com/OfficeofSSC","https://twitter.com/ugc_india","https://twitter.com/bsm_bharat","https://twitter.com/chitrabhartiff",,,,,,,,,,,,,,,,,,,,"Preparing for 2022 launch: Joint inspection of construction @ fast upcoming new premises of @mcu_bhopal on the outskirts of Bhopal with @bharatyadavias, Commissioner, @mphidb .
@MCU_Khandwa
@mcu_datia
@McuRewa @JansamparkMP @OfficeofSSC @ugc_india @bsm_bharat @chitrabhartiff","2021-12-20T05:16:00.000Z","https://twitter.com/kg_suresh/status/1472798046761062400","@kg_suresh","0","1","3","Post Graduate","This year I've Post Graduate from @mcu_bhopal 🙏
I'm also doing a good paying job,
But am curious that this new campus be ready to study as soon as possible and again i can get the opportunity to be a student here 
@kg_suresh 🙏
@lokendra_777 🙏
#MCU #student #MadhyaPradesh","2021-12-20T06:45:00.000Z","https://twitter.com/Mr_journalist16/status/1472820501957406721","https://pbs.twimg.com/profile_images/1557250438159691776/JcvfH8VJ.jpg","Social Media Executive - @CricInformer, Ex-Social Media Analyst @JansamparkMP

माखनलाल चतुर्वेदी राष्ट्रीय पत्रकारिता एवं संचार विश्वविद्यालय (2019-2021)","2016-08-18T14:13:00.000Z","मिर्ज़ापुर","82","257","1175","1531","https://twitter.com//Mr_journalist16","शुभम श्रीवास्तव","@Mr_journalist16","false","piped.video/channel/UCf2iFsC…",,"false"
,,"1475826127440547841",,,,,,,"false","false","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","School","Hope this means we are reopening schools!","2021-12-28T13:49:00.000Z","https://twitter.com/RiteshGodda/status/1475826127440547841","https://pbs.twimg.com/profile_images/1691695981945929728/bVxFSXOU.jpg","Chief Executive Officer - New Dreams Education,  Uganda","2014-08-24T14:14:00.000Z","Kampala","172","48","200","2705","https://twitter.com//RiteshGodda","Ritesh Mishra","@RiteshGodda","false",,,"false"
,,"1475479278963675136",,,,,,,"false","false","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","1","School","Behan ji school teacher,Mulayam  pahalavan, kaise  bane dhan kuber","2021-12-27T14:50:00.000Z","https://twitter.com/Sukeshadube1/status/1475479278963675136","https://pbs.twimg.com/profile_images/1557337781856112641/amw-Jaca.jpg","MSc","2016-06-11T10:14:00.000Z","भोपाल","110","588","5686","39915","https://twitter.com//Sukeshadube1","Sukeshadube","@Sukeshadube1","false",,,"false"
,,"1475104380743348225",,,,,,,"false","false","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","School","#@😀😀😀😀😀 Modi ji ki ki koi bhi baat Satya nahin hai sab hawa hawai Hain inky man ki ichcha Khali hai unhone railway becha BSNL becha sarkari Sansthan mein ab bankon ke nijikaran ke piche pada hai aur iske bad mein sarkari school bhi bechne ki taiyari mein hai BJP hatao","2021-12-26T14:01:00.000Z","https://twitter.com/GulabchandRaik6/status/1475104380743348225","https://pbs.twimg.com/profile_images/1423515185587777537/pX3k-5o5.jpg","Follow me please 🙂","2021-08-05T17:20:00.000Z","Z","242","760","13117","20148","https://twitter.com//GulabchandRaik6","Gulab chand Raikwar","@GulabchandRaik6","false",,,"false"
,,"1474962363593887746",,,,,,,"false","false","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","1","1","School","#@😀😀😀😀😀 Mansi Kulkarni MP ke ek niji school mein chhathi ke exam mein poochha Kareena Kapoor ke bete ka naam is mamle mein ab Shiksha vibhag school ko jari Karega Karan batao notice is school ki Manyata samapt kar di jaaye Karan batao notice se koi Lena Dena nahin hai","2021-12-26T04:36:00.000Z","https://twitter.com/GulabchandRaik6/status/1474962363593887746","https://pbs.twimg.com/profile_images/1423515185587777537/pX3k-5o5.jpg","Follow me please 🙂","2021-08-05T17:20:00.000Z","Z","242","760","13117","20148","https://twitter.com//GulabchandRaik6","Gulab chand Raikwar","@GulabchandRaik6","false",,,"false"
,,"1475747715996733441",,,,,,,"false","false","0","https://twitter.com/search?q=%23digitalsafety","https://twitter.com/search?q=%23edutech","https://twitter.com/search?q=%23gamingindustry","https://twitter.com/search?q=%23schools","https://timesofindia.indiatimes.com/blogs/voices/the-necessity-of-child-safety-policies-and-regulations-in-online-education/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","School","A piece on #digitalsafety
of children. 
Investment is safety is the need of the hour #edutech #gamingindustry #schools
timesofindia.indiatimes.com/…","2021-12-28T08:37:00.000Z","https://twitter.com/chitraiyer1/status/1475747715996733441","https://pbs.twimg.com/profile_images/566887045952315392/bE7uhHkP.jpeg","Development Sector Professional","2011-04-01T08:48:00.000Z","New Delhi","115","69","216","193","https://twitter.com//chitraiyer1","Chitra Iyer","@chitraiyer1","false",,,"false"
,,"1475721078743834625",,,,,,,"false","false","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","School","Someone:- How unique you are ?

Me:- mere naam ka school me koi Nahi tha 😎","2021-12-28T06:51:00.000Z","https://twitter.com/nikkkyorg_/status/1475721078743834625","https://pbs.twimg.com/profile_images/1604797464950685696/_OKiq_mE.jpg","ʀᴇᴇʟ . ᴠʟᴏɢ . ʟɪꜰᴇꜱᴛʏʟᴇ ᴀʟᴡᴀʏꜱ ʙᴇ ᴋɪɴᴅ 😉 ʙʜᴏᴘᴀʟ 📍22 🤷🏻‍♂️","2020-05-16T08:39:00.000Z","Bhopal, India","36","4","1411","95","https://twitter.com//nikkkyorg_","𝐀𝐥𝐥 𝐌𝐢𝐠𝐡𝐭𝐲 𝐏𝐮𝐬𝐡 👐🏻","@nikkkyorg_","false","instagram.com/p/B_uxEHGnM2A/…",,"false"
,,"1476751988696104963",,,,,,,"false","false","22","https://twitter.com/search?q=%23MadhyaPradesh","https://twitter.com/search?q=%23Gwalior","https://twitter.com/ChouhanShivraj","https://twitter.com/JM_Scindia","https://twitter.com/yashodhararaje","https://www.tv9hindi.com/state/madhya-pradesh/11-thousand-candidates-applied-in-15-post-of-gwalior-982643.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","1","1","phd","#MadhyaPradesh के #Gwalior कोर्ट में ड्राइवर, स्वीपर, माली और चौकीदार के 15 पद, इंटरव्यू के लिए 11 हजार युवा! बीटेक-MBA और PHD तक के अभ्यर्थी... 

@ChouhanShivraj
@JM_Scindia
@yashodhararaje

tv9hindi.com/state/madhya-pr…","2021-12-31T03:08:00.000Z","https://twitter.com/makarandkale/status/1476751988696104963","https://pbs.twimg.com/profile_images/1580837658183360512/AYRiUtHR.jpg","Working @ TimeNow नवभारत , 

Worked @ Tv9 भारतवर्ष ,‌ @ News18 MP/CG, @ Zee MP/CG","2011-06-24T11:45:00.000Z","Madhya Pradesh, India","3239","612","5290","5692","https://twitter.com//makarandkale","Makarand Kale","@makarandkale","false",,,"false"
,,"1474908785873285120",,,,,,,"false","false","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","1","School","Yes, our NGO Aryabhat Foundation is primarily for school students in MP. but because of COVID only a handful  of workshops and large sky watching camps have been done in the past few years.","2021-12-26T01:03:00.000Z","https://twitter.com/alokmandavgane/status/1474908785873285120","https://pbs.twimg.com/profile_images/1275406562249502722/lYeNVnsz.jpg","Astronomy Communicator, Amateur Astronomer, Photography, Android and Web developer","2009-07-12T04:22:00.000Z","Bhopal","223","222","1492","221","https://twitter.com//alokmandavgane","Alok Mandavgane । आलोक मांडवगणे","@alokmandavgane","false","alokm.com",,"false"
,,"1430770629037355013","https://pbs.twimg.com/media/E9seTI6VgAIItwH.jpg","https://pbs.twimg.com/media/E9seTI7VkAMWBsf.jpg","https://pbs.twimg.com/media/E9seTI-VEAIXgtg.jpg","https://pbs.twimg.com/media/E9seTJ6VUAIb0OP.jpg",,,"false","false","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","phd","PhD 5","2021-08-26T05:54:00.000Z","https://twitter.com/syed_bushra/status/1430770629037355013","https://pbs.twimg.com/profile_images/1728022621155987456/LsqC-7VS.jpg","MBA Finance works at Amaltas India Limited ,facebook.com/229651963762010… , Pursuing PhD Finance from Jagran Lakecity University @jlubhopal","2020-06-08T19:09:00.000Z","Bhopal, India","38","325","1329","775","https://twitter.com//syed_bushra","Syed Bushra Sarwar","@syed_bushra","false","facebook.com/profile.php?id=…",,"false"
