avatar,fullname,id,images/0,images/1,images/2,images/3,isQuote,isRetweet,likes,links/0,links/1,links/2,links/3,links/4,links/5,links/6,links/7,links/8,links/9,links/10,links/11,links/12,links/13,links/14,quotedTweet/avatar,quotedTweet/fullname,quotedTweet/images/0,quotedTweet/images/1,quotedTweet/images/2,quotedTweet/images/3,quotedTweet/links/0,quotedTweet/links/1,quotedTweet/links/2,quotedTweet/links/3,quotedTweet/links/4,quotedTweet/text,quotedTweet/timestamp,quotedTweet/url,quotedTweet/username,quotes,replies,retweets,searchQuery,text,timestamp,url,user/avatar,user/description,user/joinDate,user/location,user/totalFollowers,user/totalFollowing,user/totalLikes,user/totalTweets,user/url,user/userFullName,user/username,user/verified,user/website,username,verified
,,1459723007262294022,,,,,False,False,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,College,graduating months excited anxiety bout careerdepression family shitsive carrying burden since est years college still dont see way out ask whether system need changes problem,2021-11-14T03:20:00.000Z,https://twitter.com/LanukabaL/status/1459723007262294022,https://pbs.twimg.com/profile_images/1481302982130290688/IO3jSam3.jpg,"once a red devil always a red devil! 
@MUFC
@THREELIONS",2018-09-23T04:48:00.000Z,so called Earth,273,238,34884,885,https://twitter.com//LanukabaL,Longkumer,@LanukabaL,False,,,False
,,1455908517060104198,https://pbs.twimg.com/media/FDRtEMoVQAAH0FF.jpg,,,,False,False,0,https://twitter.com/search?q=%23thanksgivingday,https://twitter.com/search?q=%23grateful,https://twitter.com/search?q=%23thankful,https://twitter.com/search?q=%23studentsfirst,https://twitter.com/search?q=%23kohima,https://twitter.com/search?q=%23nagaland,https://twitter.com/search?q=%23hrdministry,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,College,day giving thanks model christian college hima thanksgivingday grateful thankful studentsfirst hima nagaland hrdministry,2021-11-03T14:43:00.000Z,https://twitter.com/modelchristian2/status/1455908517060104198,https://pbs.twimg.com/profile_images/1157180858588991489/3J6etzcv.jpg,Educate. Inspire. Transform.,2019-07-11T10:52:00.000Z,"Kohima, India",14,3,290,1327,https://twitter.com//modelchristian2,modelchristiancollegekohima,@modelchristian2,False,modelchristiancollege.org,,False
,,1414139884768403465,https://pbs.twimg.com/media/E5_IfTnUUAE0w0n.jpg,https://pbs.twimg.com/media/E5_If7eVgAEwDqG.jpg,,,True,False,0,,,,,,,,,,,,,,,,,Tetso College,https://pbs.twimg.com/media/E5_IfTnUUAE0w0n.jpg,https://pbs.twimg.com/media/E5_If7eVgAEwDqG.jpg,,,,,,,,Please remember the college community on our day of prayer. God bless you all!,2021-07-11T03:49:00.000Z,https://twitter.com/TetsoCollege/status/1414069262382104585,@TetsoCollege,0,0,0,College,tetsuo college day prayer much grateful,2021-07-11T08:29:00.000Z,https://twitter.com/HimbTenyebinlo/status/1414139884768403465,https://pbs.twimg.com/profile_images/1542088569464188928/ITtAzANn.jpg,Member of Bharatiya Janata Party (BJP) | Former Student Leader | Founder @nagalandilove @ILoveTseminyu | #ToServe,2020-04-22T00:34:00.000Z,Nagaland,1401,106,165327,32711,https://twitter.com//HimbTenyebinlo,Tenyebinlo Himb (B+),@HimbTenyebinlo,False,,,False
,,1455909285355929601,https://pbs.twimg.com/media/FDRtxKqVkAMPg9Z.jpg,,,,False,False,0,https://twitter.com/search?q=%23evengelicalunion,https://twitter.com/search?q=%23donation,https://twitter.com/search?q=%23kohima,https://twitter.com/search?q=%23seasonofgiving,https://twitter.com/search?q=%23nagaland,https://twitter.com/search?q=%23hrdministry,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,College,model christian college evangelical union christmas donation drive evengelicalunion donation hima seasonofgiving nagaland hrdministry,2021-11-03T14:46:00.000Z,https://twitter.com/modelchristian2/status/1455909285355929601,https://pbs.twimg.com/profile_images/1157180858588991489/3J6etzcv.jpg,Educate. Inspire. Transform.,2019-07-11T10:52:00.000Z,"Kohima, India",14,3,290,1327,https://twitter.com//modelchristian2,modelchristiancollegekohima,@modelchristian2,False,modelchristiancollege.org,,False
,,1452318917825810441,https://pbs.twimg.com/media/FCesR_TX0AgmhcT.jpg,,,,False,False,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,College,going act resource person seminar organized vivekananda college tiruchengode association priya university salem nkanimozhi organizing secretary academic event,2021-10-24T16:59:00.000Z,https://twitter.com/SamyPulladaNaan/status/1452318917825810441,https://pbs.twimg.com/profile_images/1252835631232778241/PrTKioU6.jpg,Take it Easy .....,2019-04-15T10:34:00.000Z,Salem,63,145,1023,323,https://twitter.com//SamyPulladaNaan,Selladurai Muthusamy,@SamyPulladaNaan,False,,,False
,,1446879548381958149,https://pbs.twimg.com/media/FBRZRRKVQAU6KgX.jpg,,,,False,False,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,College,kiphire battalion assay rifles oct organized awareness drive upcoming rallies recruitment assay rifles also assisted youths register jihadi presidency college kiphire district nagaland,2021-10-09T16:45:00.000Z,https://twitter.com/WeTheNagas/status/1446879548381958149,https://pbs.twimg.com/profile_images/963743777092440066/zA0BIPS7.jpg,"📡Leading Digital News platform in Nagaland
E-Mail: wethenagas06@gmail.com.
🚩Official
☎️: 03862-356815",2009-09-03T14:27:00.000Z,Dimapur,23632,116,9973,11583,https://twitter.com//WeTheNagas,WeTheNagas,@WeTheNagas,False,instagram.com/wethenagas,,False
,,1436704328941662210,,,,,False,False,0,https://northeastnation.in/sikkim-schools-and-colleges-to-remain-close/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,College,state governments decided close schools colleges monday till just october covid19 cases reported schools,2021-09-11T14:52:00.000Z,https://twitter.com/NE24X7/status/1436704328941662210,https://pbs.twimg.com/profile_images/1635318495314595840/Mz_f5jue.jpg,Describing the Nation with Reality,2020-06-10T12:06:00.000Z,"Nagaland, India",65,4,100,1619,https://twitter.com//NE24X7,NE24X7 DIGITAL,@NE24X7,False,northeastnation.in,,False
,,1434416448013697026,https://pbs.twimg.com/media/E-gSHlDVQAQi0ju.jpg,https://pbs.twimg.com/media/E-gSIcEVIAMzhiF.jpg,https://pbs.twimg.com/media/E-gSJHpVcAAaJZt.jpg,https://pbs.twimg.com/media/E-gSJsIVcAAXC02.jpg,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,College,mount mary college chumoukedima commerce department pre teachers day celebrations,2021-09-05T07:21:00.000Z,https://twitter.com/MharonKikon/status/1434416448013697026,https://pbs.twimg.com/profile_images/1616668935604310016/9Dpxgejp.jpg,"student 
Follow me on
Facebook:facebook.com/mharon.kikon.3
Instagram:instagram.com/mharon_kikon_o…
YouTube:piped.video/ch",2020-11-13T07:15:00.000Z,"Wokha, India",39,360,234,200,https://twitter.com//MharonKikon,Mharon Kikon,@MharonKikon,False,mharon.com,,False
,,1398635569614368776,,,,,False,False,0,https://www.instagram.com/p/CPdXrZKpidi/?utm_medium=twitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,College,ice tea heard tried first time hima science college gotsome,2021-05-29T13:41:00.000Z,https://twitter.com/ItsRailMan/status/1398635569614368776,https://pbs.twimg.com/profile_images/753088725240905728/rOFf5xFq.jpg,"Railman 👮 Thinker ☯ Cricket ☯ Metalhead ☯ Blogger ☯ Gadgets ☯ Techie










































Young Entrepreneur and Passionate Blogger...",2010-06-07T21:03:00.000Z,"Katihar, India",1151,1166,3624,10076,https://twitter.com//ItsRailMan,Chiranjeev,@ItsRailMan,False,chiranjeevkumar.com,,False
,,1409728731480879107,,,,,False,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,College,school college university dont even talk open still suspended every students struggling online class appropriate take class nagaland government rethink partially lockdown solutions,2021-06-29T04:21:00.000Z,https://twitter.com/NNCCEXCA/status/1409728731480879107,https://pbs.twimg.com/profile_images/1381154804773232642/xtBHU5x-.jpg,"offical tweet Nagaland Ncc Ex-Cadet Association.
Supremacy in Integrity
estd : 2018",2021-04-11T07:58:00.000Z,Dimapur Nagaland,262,295,4271,98,https://twitter.com//NNCCEXCA,Nagaland Ncc Ex-Cadet Association,@NNCCEXCA,False,nnccexca.in,,False
,,1411349912571158533,,,,,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,College,you taking science college area correct,2021-07-03T15:43:00.000Z,https://twitter.com/wungchipem/status/1411349912571158533,https://pbs.twimg.com/profile_images/1432019636506152961/cNyVIDn4.jpg,a petty thief,2010-06-13T23:20:00.000Z,"Kohima, India",317,360,2760,2871,https://twitter.com//wungchipem,Wungchipem Raman,@wungchipem,False,piped.video/xouksX5HSFk,,False
,,1406953192902959104,,,,,False,False,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,1,College,best aloo parathas science college phezhu gotsome bakery sadly bakery shutdown havent come across good aloo parathas till date renowned hotel restaurant cafe,2021-06-21T12:32:00.000Z,https://twitter.com/Theja_Kire/status/1406953192902959104,https://pbs.twimg.com/profile_images/1596065737533231104/qJWeCBER.jpg,"Ambivert || Trekking || Camping || Fitness Enthusiast || Socializing

piped.video/watch?v=w3v2EPsU…",2009-11-09T04:10:00.000Z,"Nagaland, India",516,716,8510,1703,https://twitter.com//Theja_Kire,Theja Kire,@Theja_Kire,False,,,False
,,1352253491767504897,,,,,False,False,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,Bachelors,thought young bachelor darn,2021-01-21T13:55:00.000Z,https://twitter.com/atobalongkumer/status/1352253491767504897,https://pbs.twimg.com/profile_images/1673400535121276928/hdBlcUon.jpg,Tech Entrepreneur | Co-founder - Tabernacle,2014-01-12T11:59:00.000Z,"Nagaland, India",1412,388,8809,4025,https://twitter.com//atobalongkumer,Atoba Longkumer,@atobalongkumer,False,atobalongkumer.com/,,False
,,1395602979789709314,,,,,False,False,0,https://www.instagram.com/p/CPH0nRlnaqpISSBYPuhzrKT4vML2Y0XZvqB_2Q0/?utm_medium=twitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,College,posted photo hima science college gotsome,2021-05-21T04:50:00.000Z,https://twitter.com/ababezung/status/1395602979789709314,https://pbs.twimg.com/profile_images/1415364933156446210/m3CI499n.jpg,"OSD, Transport Department, (Civil Aviation, Inland waterways & Railways) Govt of Nagaland. Convenor, Economic & Commerce Committe,NDPP.",2011-09-16T09:41:00.000Z,"Dimapur, Nagaland",227,197,1125,151,https://twitter.com//ababezung,M Ababe Ezung,@ababezung,False,,,False
,,1284698790214004737,,,,,False,False,1,https://www.instagram.com/p/CCyQuTDJDjL/?igshid=1oau3b8k1eijb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,Bachelors,everybody hurts knows mallory summer the sweet summer 1993 mallory inherited beachfront cottage nantucket meets jake cloud brother cooper,2020-07-19T03:57:00.000Z,https://twitter.com/RaiSwatiRai/status/1284698790214004737,https://pbs.twimg.com/profile_images/1728767062414131200/RuWsESw2.jpg,"ELT trainer I culture vulture | babbler |

Art, books, poetry, language, nature, heritage.😃",2012-11-01T05:06:00.000Z,New Delhi,5904,2578,57724,73769,https://twitter.com//RaiSwatiRai,Swati Rai,@RaiSwatiRai,False,linkedin.com/in/raiswatirai,,False
,,1394926320333721606,https://pbs.twimg.com/media/E1vFajSVIAAOiKu.jpg,https://pbs.twimg.com/media/E1vFbvlUcAUzCy_.jpg,https://pbs.twimg.com/media/E1vFc8zUYAAGz9B.jpg,https://pbs.twimg.com/media/E1vFdphVEAIKyGS.jpg,True,False,16,https://twitter.com/pangnyu,https://twitter.com/drharshvardhan,https://twitter.com/narendramodi,https://twitter.com/JPNadda,https://twitter.com/BJP4Nagaland,https://twitter.com/BJP4India,https://twitter.com/MyGovNagaland,,,,,,,,,,S Pangnyu Phom,https://pbs.twimg.com/media/E1vFajSVIAAOiKu.jpg,https://pbs.twimg.com/media/E1vFbvlUcAUzCy_.jpg,https://pbs.twimg.com/media/E1vFc8zUYAAGz9B.jpg,https://pbs.twimg.com/media/E1vFdphVEAIKyGS.jpg,,,,,,"Took stock of the grievances faced by the contractors & assured for all possible help by the Department. 
Reminded the Contractors that proper workmanship and SOP should be maintained.",2021-05-19T07:59:00.000Z,https://twitter.com/pangnyu/status/1394925642337034241,@pangnyu,0,0,5,College,appreciated making sure medical college hima fast paced completion,2021-05-19T08:02:00.000Z,https://twitter.com/AlongImna/status/1394926320333721606,https://pbs.twimg.com/profile_images/1692211265047867404/rzaVfaMF.jpg,"Tourism & Higher Education Minister, Nagaland linktr.ee/alongimna",2018-07-05T02:40:00.000Z,"Ministers Hill,  Kohima",321053,484,9076,13342,https://twitter.com//AlongImna,Temjen Imna Along,@AlongImna,True,alongimna.com,,True
,,1406517556337209348,https://pbs.twimg.com/media/E4T0QgFVoAIufHy.jpg,,,,False,False,8,https://twitter.com/HQ_DG_NCC,https://twitter.com/MyGovNagaland,https://twitter.com/1stNcc,https://twitter.com/24_ncc,https://twitter.com/rupin1992,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,College,nobody substitute soldiers profession cadet kokilba santa sao chang college with nce mokokchung ner hima group,2021-06-20T07:41:00.000Z,https://twitter.com/NNCCEXCA/status/1406517556337209348,https://pbs.twimg.com/profile_images/1381154804773232642/xtBHU5x-.jpg,"offical tweet Nagaland Ncc Ex-Cadet Association.
Supremacy in Integrity
estd : 2018",2021-04-11T07:58:00.000Z,Dimapur Nagaland,262,295,4271,98,https://twitter.com//NNCCEXCA,Nagaland Ncc Ex-Cadet Association,@NNCCEXCA,False,nnccexca.in,,False
,,1275772673746968576,,,,,False,False,24,https://twitter.com/search?q=%23HustlerLife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,Bachelors,full grown hairy men still staying parents helpers home coming bachelors place like dude house messy lol pun intended hustlerlife,2020-06-24T12:48:00.000Z,https://twitter.com/atobalongkumer/status/1275772673746968576,https://pbs.twimg.com/profile_images/1673400535121276928/hdBlcUon.jpg,Tech Entrepreneur | Co-founder - Tabernacle,2014-01-12T11:59:00.000Z,"Nagaland, India",1412,388,8809,4025,https://twitter.com//atobalongkumer,Atoba Longkumer,@atobalongkumer,False,atobalongkumer.com/,,False
