avatar,fullname,id,images/0,images/1,images/2,images/3,isQuote,isRetweet,likes,links/0,links/1,links/2,links/3,links/4,links/5,links/6,links/7,links/8,links/9,links/10,links/11,links/12,links/13,links/14,links/15,links/16,quotedTweet/avatar,quotedTweet/fullname,quotedTweet/images/0,quotedTweet/images/1,quotedTweet/links/0,quotedTweet/links/1,quotedTweet/links/2,quotedTweet/links/3,quotedTweet/links/4,quotedTweet/links/5,quotedTweet/links/6,quotedTweet/links/7,quotedTweet/text,quotedTweet/timestamp,quotedTweet/url,quotedTweet/username,quotes,replies,retweets,searchQuery,text,timestamp,url,user/avatar,user/description,user/joinDate,user/location,user/totalFollowers,user/totalFollowing,user/totalLikes,user/totalTweets,user/url,user/userFullName,user/username,user/verified,user/website,username,verified
,,1420668755240046598,,,,,False,False,0,https://twitter.com/search?q=%23DeathAnniversary,https://twitter.com/search?q=%23IshwarchandVidyasagar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,Undergraduate,shear chandra vidyasagar one bengal iconic social reformers excelled undergraduate studies sanskrit philosophy sanskrit college calcutta deathanniversary ishwarchandvidyasagar,2021-07-29T08:53:00.000Z,https://twitter.com/my_slf_aakash/status/1420668755240046598,https://pbs.twimg.com/profile_images/1729931748698681344/mqPM56GC.jpg,"Never win an argument, It's a waste of time.👈",2019-12-14T13:51:00.000Z,"Sonarpur, Kolkata",24,46,1068,655,https://twitter.com//my_slf_aakash,Aakash,@my_slf_aakash,False,facebook.com/jeetfcspr,,False
,,1462305002328760327,,,,,False,False,0,https://twitter.com/Cognizant,https://twitter.com/search?q=%23nostalgic,https://twitter.com/search?q=%23cognizantoutreach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,Undergraduate,presented virtual session email etiquette handful young undergraduate students extremely enticing know high aspirations hold thanks looking forward conduct amazing sessions going ahead nostalgic cognizantoutreach,2021-11-21T06:20:00.000Z,https://twitter.com/RounakMahakul/status/1462305002328760327,https://pbs.twimg.com/profile_images/1670428459867471874/mYgw7qih.jpg,,2021-11-17T05:24:00.000Z,"Kolkata, India",21,111,518,465,https://twitter.com//RounakMahakul,Rounak Mahakul,@RounakMahakul,False,,,False
,,1476924678417444868,,,,,False,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,College,going college bonfire lets hope doesn't turn get away murder episode,2021-12-31T14:34:00.000Z,https://twitter.com/__Farheenkhan/status/1476924678417444868,https://pbs.twimg.com/profile_images/1670671581708972033/VF0nxW0T.jpg,"🩺
Med intern |
Tripping, falling with no safety net",2021-02-05T17:23:00.000Z,"Kolkata, India",284,136,5457,1505,https://twitter.com//__Farheenkhan,Farheen,@__Farheenkhan,False,,,False
,,1327193417814855680,https://pbs.twimg.com/media/EmsjYXKWEAAZ-22.jpg,,,,False,False,1,https://www.swarmapp.com/c/dxl3OSIXfh1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,Postgrad,preschool high undergrad cal postgrad mumbai xavier university cal xavier university kolkata west bengal swarmappcomcdxl3osixfh1,2020-11-13T10:15:00.000Z,https://twitter.com/BasicallyRay/status/1327193417814855680,https://pbs.twimg.com/profile_images/1554335261185585152/bOS5EhMw.jpg,🕵🏻‍♂️  | 🤸🏻‍♂️Alumnus - Xavier's Kolkata+Mumbai,2010-03-22T12:56:00.000Z,"Bengaluru, India",898,2647,6899,15764,https://twitter.com//BasicallyRay,Raymond Rozario,@BasicallyRay,False,in.linkedin.com/in/raymondro…,,False
,,1461958397188661257,,,,,False,False,12,https://twitter.com/search?q=%23PhD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,Undergraduate,pod degrees pursued curiosity compulsion assistant professors teach undergraduate level knack teaching important research background,2021-11-20T07:23:00.000Z,https://twitter.com/SMitra_/status/1461958397188661257,https://pbs.twimg.com/profile_images/1621603488122953728/saXwnjGZ.jpg,"Bengali; History & Heritage Enthusiast; PhD Student (History of Anthropology), Presidency University; Alumnus of @CSSSCal; & State Secretary, @WBTMCPofficial",2020-04-20T07:19:00.000Z,"Kolkata, India",5159,50,28603,26231,https://twitter.com//SMitra_,Sandipan Mitra,@SMitra_,True,jstor.org/stable/26906141,,True
,,1407883794024067073,https://pbs.twimg.com/media/E4mCDysVkAIVa_m.jpg,https://pbs.twimg.com/media/E4mCDyrVIAAtOgi.jpg,,,True,False,5,https://twitter.com/USIEF,,,,,,,,,,,,,,,,,,Hemant,https://pbs.twimg.com/media/E4mCDysVkAIVa_m.jpg,https://pbs.twimg.com/media/E4mCDyrVIAAtOgi.jpg,https://twitter.com/search?q=%23airmail,https://twitter.com/search?q=%23History,https://twitter.com/search?q=%23Philately,https://twitter.com/ssharadmohhan,https://twitter.com/PunjabiRooh,https://twitter.com/Ayesha_Borealis,https://twitter.com/dpanikkar,,"Perhaps almost three decades since I received or sent a letter in one of these blue-red bordered #airmail envelopes. When this wasn’t available, the blue adhesive stamp was affixed on letters sent abroad. #History #Philately @ssharadmohhan @PunjabiRooh @Ayesha_Borealis @dpanikkar",2021-06-23T20:34:00.000Z,https://twitter.com/hemantsarin/status/1407799366853611520,@hemantsarin,0,0,0,Undergraduate,last air mail sent 2004 inquiring admission process universities undergraduate programs used pre printed inquiry air mails sent bunch,2021-06-24T02:10:00.000Z,https://twitter.com/ArchaeoNomad/status/1407883794024067073,https://pbs.twimg.com/profile_images/1673289371213021184/_QadZ2N3.jpg,Building @immersivetrails| #ChildAbuse Survivor| PhD Archaeology @UniofExeter| Making #heritage & #culture accessible through #technology| #Buddhist | #Woke,2012-07-23T13:53:00.000Z,"Kolkata, India",6034,1199,21559,20220,https://twitter.com//ArchaeoNomad,Tathagata Neogi (He/Him/Dr),@ArchaeoNomad,True,tathagataneogi.in/,,True
,,1437701036890746880,,,,,False,False,0,https://twitter.com/MamataOfficial,https://twitter.com/itspcofficial,https://twitter.com/brata,https://twitter.com/Sukhendusekhar,https://twitter.com/abhishekaitc,https://twitter.com/Sujan_Speak,https://twitter.com/mishra_surjya,https://twitter.com/adhirrcinc,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,Undergraduate,govt passed billtamilnadu admin undergraduate medical degree courses bill alternative neetrequst west being govt pass similar lawexclusively for bengal students,2021-09-14T08:53:00.000Z,https://twitter.com/AMITAVAKAR19/status/1437701036890746880,https://pbs.twimg.com/profile_images/1064218313537044482/-au-tnFo.jpg,An uninteresting man. A nature lover. Deeply concerned about our mother Earth and environment. Finding all who work diligently to conserve nature.,2018-11-18T07:02:00.000Z,"Kolkata, India",146,417,32609,32761,https://twitter.com//AMITAVAKAR19,AMITAVA KAR ( same & iden person @ AMITAVAKAR14),@AMITAVAKAR19,False,,,False
,,1476797826038263809,,,,,True,False,5,,,,,,,,,,,,,,,,,,,Austin Henley,,,https://web.eecs.utk.edu/~azh/blog/lessonsfrommyphd.html,,,,,,,,"My PhD advisor taught me *a lot*. I wrote down a few of the lessons to pass them on to my own PhD students.

web.eecs.utk.edu/~azh/blog/l…",2021-12-27T22:31:00.000Z,https://twitter.com/AustinZHenley/status/1475595171374972931,@AustinZHenley,0,0,0,phd,great set advices wish read beginning pod,2021-12-31T06:10:00.000Z,https://twitter.com/DhimanRay16/status/1476797826038263809,https://pbs.twimg.com/profile_images/1515354218340753408/0AlsbVUh.jpg,"PostDoc @GroupParrinello @IITalk Genoa, PhD @UCIChemistry, BS-MS @iiserkol, Computational Biophysics, Molecular Dynamics Simulation, Theoretical Chemistry",2019-09-13T01:17:00.000Z,"Genova, Italy",1025,754,5237,2073,https://twitter.com//DhimanRay16,Dhiman Ray,@DhimanRay16,False,sites.google.com/view/dhiman…,,False
,,1473482504296288260,https://pbs.twimg.com/media/FHLchn2UUAMtYni.jpg,,,,False,False,8,https://twitter.com/search?q=%23PhD,https://twitter.com/search?q=%23PhdLife,https://twitter.com/search?q=%23phdchat,https://twitter.com/search?q=%23AcademicTwitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,phd,finally done pod introducing data roy pod midlife phdchat academictwitter,2021-12-22T02:36:00.000Z,https://twitter.com/Udita__Roy/status/1473482504296288260,https://pbs.twimg.com/profile_images/1548000934688460802/2GxcTvxV.jpg,"Postdoctoral Research Fellow at Harvard Medical School👩🏻‍🔬. PhD in Molecular Microbiology from Technion, Israel 🔬",2016-02-15T10:59:00.000Z,"Boston, MA",136,214,1953,451,https://twitter.com//Udita__Roy,Udita Roy,@Udita__Roy,False,,,False
,,1467505640364920835,,,,,False,False,0,https://piped.video/2-BSTr-gyic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,phd,pure desk home regular defence forces kurenai hind well ceo general pod rajiv balreserve paramilitary defence force pipedvideo2bstrgyic,2021-12-05T14:46:00.000Z,https://twitter.com/Rajib56679823/status/1467505640364920835,https://pbs.twimg.com/profile_images/1489998027939266561/Dy8mUrgM.jpg,Earth is mysterious but my motherland is more mysterious because for love to each others,2020-07-24T01:02:00.000Z,"Chandpur, India",40,362,49,38254,https://twitter.com//Rajib56679823,galary,@Rajib56679823,False,,,False
